Designator,Footprint,Quantity,Value,LCSC Part #
AE1,PinHeader_1x01_P2.54mm_Vertical,1,Antenna,
BT1,BatteryHolder_Keystone_2469_2xAAA,1,Battery,
C1,0402,1,1 uF,C52923
"C10, C12, C14, C2, C5, C9",0402,6,100 nF,C1525
"C11, C3",0603,2,10 uF,C19702
C13,0402,1,470 pF,
C15,0402,1,10 nF,
"C16, C8",0402,2,1 nF,
C17,Soil,1,Soil,
C4,0603,1,100 nF,C14663
"C6, C7",0402,2,22 pF,
D1,0603,1,LED,C2286
D2,D_MicroMELF,1,SM4007,
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
J1,PinHeader_2x03_P2.54mm_Vertical,1,AT_ISP,
J2,PinHeader_1x06_P2.54mm_Vertical,1,FTDI,
J3,PinHeader_1x05_P2.54mm_Vertical,1,GPIO,
Q1,SC-59_Handsoldering,1,DMN1019USN-13,C145103
"R1, R3",0603,2,1.8 K,C4177
R10,0402,1,330,
R11,0402,1,10 K,
"R12, R4, R5",0402,3,1 M,
R2,0402,1,1 K,C11702
R6,0402,1,220,
R7,0402,1,10 K,C25744
R8,0402,1,10,C25077
R9,0402,1,1.5 K,
SW1,SW_SPST_CK_RS282G05A3,1,BUTTON2,
SW2,SW_SPST_CK_RS282G05A3,1,BUTTON1,
SW3,SW_SPST_CK_RS282G05A3,1,AT_RESET,
SW4,SW_Slide_SPDT,1,Power,
U1,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,C92489
U2,Ai-Thinker-Ra-01-LoRa,1,Ra-01,C2830750
U3,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U4,VSSOP-8_3.0x3.0mm_P0.65mm,1,TLC555xPS,
Y1,Crystal_HC18-U_Vertical,1,8MHz,
